2019-10-22 13:49:22.681 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.demo.test.MybatisPlusTest], using SpringBootContextLoader
2019-10-22 13:49:22.694 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.example.demo.test.MybatisPlusTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-10-22 13:49:22.695 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.demo.test.MybatisPlusTest]: MybatisPlusTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-10-22 13:49:22.993 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.demo.DemoApplication for test class com.example.demo.test.MybatisPlusTest
2019-10-22 13:49:23.252 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-10-22 13:49:23.280 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2a54a73f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@16a0ee18, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@3d6f0054, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@505fc5a4, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5fbdfdcf, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4efc180e, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@bd4dc25, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@25084a1e, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@156b88f5, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@3bf9ce3e, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@16610890, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@71def8f8]
2019-10-22 13:49:23.714 [main] INFO  com.example.demo.test.MybatisPlusTest - Starting MybatisPlusTest on SST-OCHO with PID 14936 (started by yxie in C:\MrX\springbootDemo\first\mavenDemoForSpringBoot)
2019-10-22 13:49:23.715 [main] INFO  com.example.demo.test.MybatisPlusTest - No active profile set, falling back to default profiles: default
2019-10-22 13:49:27.013 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'countryPostalCodeDao' and 'com.example.demo.dao.CountryPostalCodeDao' mapperInterface. Bean already defined with the same name!
2019-10-22 13:49:27.014 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'mpUserMapper' and 'com.example.demo.dao.MpUserMapper' mapperInterface. Bean already defined with the same name!
2019-10-22 13:49:27.015 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'shippingCostAreaDao' and 'com.example.demo.dao.ShippingCostAreaDao' mapperInterface. Bean already defined with the same name!
2019-10-22 13:49:27.015 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'shippingCostCrawlerDao' and 'com.example.demo.dao.ShippingCostCrawlerDao' mapperInterface. Bean already defined with the same name!
2019-10-22 13:49:27.015 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'sysUserDao' and 'com.example.demo.dao.SysUserDao' mapperInterface. Bean already defined with the same name!
2019-10-22 13:49:27.015 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'userMapper' and 'com.example.demo.dao.UserMapper' mapperInterface. Bean already defined with the same name!
2019-10-22 13:49:27.016 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.example.demo.dao]' package. Please check your configuration.
2019-10-22 13:49:27.224 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-10-22 13:49:27.229 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-10-22 13:49:27.341 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 90ms. Found 0 repository interfaces.
2019-10-22 13:49:27.936 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$6644fe6d] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-10-22 13:49:28.682 [main] INFO  com.zaxxer.hikari.HikariDataSource - MyHikariCP - Starting...
2019-10-22 13:49:28.685 [main] WARN  com.zaxxer.hikari.util.DriverDataSource - Registered driver with driverClassName=oracle.jdbc.driver.OracleDriver was not found, trying direct instantiation.
2019-10-22 13:49:29.025 [main] INFO  com.zaxxer.hikari.pool.PoolBase - MyHikariCP - Driver does not support get/set network timeout for connections. (oracle.jdbc.driver.T4CConnection.getNetworkTimeout()I)
2019-10-22 13:49:29.031 [main] INFO  com.zaxxer.hikari.HikariDataSource - MyHikariCP - Start completed.
2019-10-22 13:49:29.200 [main] WARN  c.b.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.example.demo.entity.CountryPostalCode.
2019-10-22 13:49:30.314 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-10-22 13:49:30.629 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2019-10-22 13:49:30.988 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2019-10-22 13:49:31.126 [main] INFO  com.example.demo.test.MybatisPlusTest - Started MybatisPlusTest in 7.776 seconds (JVM running for 9.361)
2019-10-22 13:49:31.867 [Thread-4] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Shutting down ExecutorService 'taskScheduler'
2019-10-22 13:49:31.869 [Thread-4] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2019-10-22 13:49:31.871 [Thread-4] INFO  com.zaxxer.hikari.HikariDataSource - MyHikariCP - Shutdown initiated...
2019-10-22 13:49:32.132 [Thread-4] INFO  com.zaxxer.hikari.HikariDataSource - MyHikariCP - Shutdown completed.
2019-10-22 13:50:34.861 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.demo.test.MybatisPlusTest], using SpringBootContextLoader
2019-10-22 13:50:34.869 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.example.demo.test.MybatisPlusTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-10-22 13:50:34.870 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.demo.test.MybatisPlusTest]: MybatisPlusTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-10-22 13:50:35.082 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.demo.DemoApplication for test class com.example.demo.test.MybatisPlusTest
2019-10-22 13:50:35.293 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-10-22 13:50:35.323 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2a54a73f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@16a0ee18, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@3d6f0054, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@505fc5a4, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5fbdfdcf, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4efc180e, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@bd4dc25, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@25084a1e, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@156b88f5, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@3bf9ce3e, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@16610890, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@71def8f8]
