2019-10-10 11:33:31.238 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.demo.DemoApplicationTests], using SpringBootContextLoader
2019-10-10 11:33:31.244 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.example.demo.DemoApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-10-10 11:33:31.245 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.demo.DemoApplicationTests]: DemoApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-10-10 11:33:31.396 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.demo.DemoApplication for test class com.example.demo.DemoApplicationTests
2019-10-10 11:33:31.566 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-10-10 11:33:31.588 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@273e7444, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7db12bb6, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@783a467b, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@272113c4, org.springframework.test.context.support.DirtiesContextTestExecutionListener@73e9cf30, org.springframework.test.context.transaction.TransactionalTestExecutionListener@771a660, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2d52216b, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@242b836, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3f6f6701, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@3527942a, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@942a29c, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@1ed6388a]
2019-10-10 11:33:32.023 [main] INFO  com.example.demo.DemoApplicationTests - Starting DemoApplicationTests on SST-OCHO with PID 67012 (started by yxie in C:\MrX\springbootDemo\first\mavenDemoForSpringBoot)
2019-10-10 11:33:32.023 [main] INFO  com.example.demo.DemoApplicationTests - The following profiles are active: sst
2019-10-10 11:33:33.115 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-10-10 11:33:33.119 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-10-10 11:33:33.218 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 78ms. Found 0 repository interfaces.
2019-10-10 11:33:33.714 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$5d4aabf] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-10-10 11:33:34.585 [main] ERROR com.alibaba.druid.pool.DruidDataSource - testWhileIdle is true, validationQuery not set
2019-10-10 11:33:34.601 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2019-10-10 11:33:36.121 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-10-10 11:33:36.366 [main] WARN  org.thymeleaf.templatemode.TemplateMode - [THYMELEAF][main] Template Mode 'LEGACYHTML5' is deprecated. Using Template Mode 'HTML' instead.
2019-10-10 11:33:36.436 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2019-10-10 11:33:36.785 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2019-10-10 11:33:36.903 [main] INFO  com.example.demo.DemoApplicationTests - Started DemoApplicationTests in 5.259 seconds (JVM running for 6.46)
2019-10-10 11:33:37.008 [scheduling-1] INFO  c.e.demo.scheduling.ShippingCostAcquireScheduling - 2019-10-10 11:33:37
2019-10-10 11:33:37.183 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.demo.test.MybatisPlusTest], using SpringBootContextLoader
2019-10-10 11:33:37.184 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.example.demo.test.MybatisPlusTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-10-10 11:33:37.185 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.demo.test.MybatisPlusTest]: MybatisPlusTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-10-10 11:33:37.195 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.demo.DemoApplication for test class com.example.demo.test.MybatisPlusTest
2019-10-10 11:33:37.198 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-10-10 11:33:37.198 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@42c12b3e, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2dbfa972, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@46f73ffa, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@41aebbb4, org.springframework.test.context.support.DirtiesContextTestExecutionListener@afde064, org.springframework.test.context.transaction.TransactionalTestExecutionListener@5a592c70, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@252ec02e, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@11e9ac24, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@74f280bd, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@675b18ff, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@34279b8a, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@687389a6]
2019-10-10 11:33:37.454 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.demo.test.Test], using SpringBootContextLoader
2019-10-10 11:33:37.455 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.example.demo.test.Test]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-10-10 11:33:37.455 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.demo.test.Test]: Test does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-10-10 11:33:37.459 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.demo.DemoApplication for test class com.example.demo.test.Test
