2019-10-17 17:29:02.887 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.demo.test.MybatisPlusTest], using SpringBootContextLoader
2019-10-17 17:29:02.901 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.example.demo.test.MybatisPlusTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-10-17 17:29:02.902 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.demo.test.MybatisPlusTest]: MybatisPlusTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-10-17 17:29:03.567 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.demo.DemoApplication for test class com.example.demo.test.MybatisPlusTest
2019-10-17 17:29:03.874 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-10-17 17:29:03.905 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@3c73951, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3d5c822d, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@6f46426d, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@73700b80, org.springframework.test.context.support.DirtiesContextTestExecutionListener@49c7b90e, org.springframework.test.context.transaction.TransactionalTestExecutionListener@10d307f1, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4d5b6aac, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3e84448c, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@4a7f959b, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@429bffaa, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5403f35f, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@483f6d77]
2019-10-17 17:29:04.695 [main] INFO  com.example.demo.test.MybatisPlusTest - Starting MybatisPlusTest on SST-OCHO with PID 14540 (started by yxie in C:\MrX\springbootDemo\first\mavenDemoForSpringBoot)
2019-10-17 17:29:04.695 [main] INFO  com.example.demo.test.MybatisPlusTest - The following profiles are active: dev
2019-10-17 17:29:08.143 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-10-17 17:29:08.147 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-10-17 17:29:08.250 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 85ms. Found 0 repository interfaces.
2019-10-17 17:29:08.805 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$be702839] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-10-17 17:29:09.200 [main] ERROR com.example.demo.config.TestProfileAnnotation - TestProfileAnnotation------------------------
2019-10-17 17:29:09.563 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
